id,label,count,type
224054,Braden Sensory Perception,817934,Text
224055,Braden Moisture,817434,Text
223782,Pain Type,817006,Text
224056,Braden Activity,816965,Text
224057,Braden Mobility,816956,Text
224058,Braden Nutrition,816601,Text
227950,Restraint Location,816097,Text
224059,Braden Friction/Shear,814342,Text
220074,Central Venous Pressure,812683,Numeric
228398,Commands,793242,Text
228414,Speech,790926,Text
228977,Altered Mental Status  NCP - Interventions,790075,Text
224000,Nares R,783250,Text
228890,Pain NCP - Interventions,775053,Text
223992,Cough Type,768511,Text
224879,Nares L,765452,Text
225664,Glucose finger stick (range 70-100),764855,Numeric
227959,Restraints Evaluated,762798,Text
227951,Circulation/Skin Integrity,759241,Text
227960,Patient/Family Informed,759182,Text
223935,PostTib. Pulses R,757423,Text
227952,Position Change,755209,Text
227957,Signs of Injury from Intervention,752531,Text
224771,RLE Temp,745387,Text
223947,PostTib. Pulses L,744884,Text
227953,Range of Motion,744324,Text
227961,Side  Rails,743301,Text
224773,LLE Temp,739304,Text
224767,RUE Temp,734079,Text
224769,LUE Temp,731104,Text
227956,Urinal/Bedpan,731063,Text
223979,RLE Color,728705,Text
224023,Support Systems,725374,Text
223983,LLE Color,723029,Text
223976,RUE Color,719104,Text
228902,Altered Respiratory Status NCP - Expected outcomes,716373,Text
223982,LUE Color,716176,Text
227946,Restraint Ordered (Non-violent),712426,Text
228298,Daily Wake Up,695565,Text
223985,Respiratory Pattern,687340,Text
228933,Post-op Care NCP - Expected outcomes,686661,Text
223990,Respiratory Effort,676023,Text
224017,GU Catheter Size,674315,Text
224024,Family Communication,660452,Text
223905,Cough Reflex,656068,Text
223904,Gag Reflex,648290,Text
223951,Capillary Refill R,643522,Text
220339,PEEP set,642089,Numeric
224308,Capillary Refill L,630610,Text
220047,Heart Rate Alarm - Low,627396,Numeric
220046,Heart rate Alarm - High,627111,Numeric
223770,O2 Saturation Pulseoxymetry Alarm - Low,622764,Numeric
227342,Secondary diagnosis,621788,Text
227341,History of falling (within 3 mnths),621381,Text
223769,O2 Saturation Pulseoxymetry Alarm - High,619601,Numeric
227343,Ambulatory aid,618906,Text
227345,Gait/Transferring,618692,Text
227344,IV/Saline lock,618645,Text
227346,Mental status,616868,Text
224161,Resp Alarm - High,614038,Numeric
224162,Resp Alarm - Low,613796,Numeric
224685,Tidal Volume (observed),611925,Numeric
227949,Face to Face Eval (Non-violent),607598,Text
224687,Minute Volume,607284,Numeric
226253,SpO2 Desat Limit,600821,Numeric
224697,Mean Airway Pressure,600557,Numeric
224689,Respiratory Rate (spontaneous),592180,Numeric
224695,Peak Insp. Pressure,585159,Numeric
223834,O2 Flow,580689,Numeric
220292,Minute Volume Alarm - Low,580357,Numeric
224076,Education Barrier,578880,Text
220293,Minute Volume Alarm - High,578070,Numeric
223876,Apnea Interval,576892,Numeric
223873,Paw High,576621,Numeric
223848,Ventilator Type,571964,Text
224409,Pain Level Response,564047,Text
223874,Vti High,561470,Numeric
227517,Humidification,557979,Text
227968,All Medications Tolerated without Adverse Side Effects,553695,Text
224690,Respiratory Rate (Total),550398,Numeric
228957,Coping/Knowledge Deficit  NCP - Interventions,547745,Text
228914,Altered Skin Integrity NCP - Interventions,540552,Text
223796,Untoward Effect,538630,Text
224692,Flow Pattern,538005,Text
224865,Flow Sensitivity,537851,Text
223875,Fspn High,535654,Numeric
229322,Breathing pattern/effort,535136,Text
225978,Slope,529137,Text
224085,Assistance Device,522637,Text
228399,Facial Droop,519928,Text
227368,20 Gauge Dressing Occlusive,518476,Checkbox
226138,20 Gauge placed in outside facility,516481,Checkbox
223936,Radial Pulse R,514582,Text
224735,Flow Rate (variable/fixed),509689,Text
223948,Radial Pulse L,505331,Text
224077,Education Method,504581,Text
226104,Level of Consciousness,489797,Text
223898,Orientation,487492,Text
224862,Edema Amount,485444,Text
224785,GI #1 Tube Type,484330,Text
224072,Education Learner,483575,Text
223752,Non-Invasive Blood Pressure Alarm - Low,477951,Numeric
223751,Non-Invasive Blood Pressure Alarm - High,477727,Numeric
220001,Problem List,477602,Text
224007,GI #1 Intub Site,476451,Text
224079,Education Response,472763,Text
227240,NBP Alarm Source,468516,Text
224415,ETT Mark (cm),468194,Text
223838,ETT Location,467864,Text
223902,Speech,466794,Text
223837,ETT Size (ID),466523,Text
224832,ETT Type,466004,Text
224786,GI #1 Tube Status,460844,Text
227442,Potassium (serum),455656,Numeric with tag
224289,Arterial line Site Appear,454613,Text
220645,Sodium (serum),453875,Numeric
228332,Delirium assessment,450214,Text
223911,Spontaneous Movement,447618,Text
220602,Chloride (serum),447016,Numeric
228100,20 Gauge placed in the field,445257,Checkbox
223849,Ventilator Mode,443254,Text
228973,Altered Mental Status  NCP - Expected outcomes,438652,Text
224281,Multi Lumen Site Appear,438556,Text
224373,Sputum Amount,435896,Text
228894,Impaired Fluid Balance NCP - Expected outcomes,435442,Text
220545,Hematocrit (serum),435115,Numeric
224372,Sputum Source,433662,Text
224291,Arterial line Waveform Appear,431264,Text
220228,Hemoglobin,428841,Numeric
223916,Response to Stimuli (Type),427207,Text
220615,Creatinine (serum),425354,Numeric
227443,HCO3 (serum),425268,Numeric with tag
225624,BUN,424150,Numeric
227073,Anion gap,423135,Numeric
226107,Arterial Line placed in outside facility,420841,Checkbox
220621,Glucose (serum),420567,Numeric
224756,Response,415112,Text
220635,Magnesium,412400,Numeric
224040,Incision Closure #1,410003,Text
224848,Incision Appearance #1,408485,Text
224370,Sputum Color,392525,Text
223917,RU Strength/Movement,392458,Text
223919,LU Strength/Movement,392208,Text
223918,RL Strength/Movement,391873,Text
223872,Inspired Gas Temp.,391587,Numeric
223920,LL Strength/Movement,391074,Text
225677,Phosphorous,388996,Numeric
227457,Platelet Count,388028,Numeric with tag
225625,Calcium non-ionized,386494,Numeric
226113,Multi Lumen placed in outside facility,385957,Checkbox
226169,Subglottal Suctioning,382472,Checkbox
224005,Flatus,381622,Text
224369,Sputum Consistency,381197,Text
220546,WBC,380336,Numeric
229604,Therapeutic Bed,364512,Text
229126,Altered Sensory Perception NCP - Interventions,358616,Text
227367,18 Gauge Dressing Occlusive,355287,Checkbox
226137,18 Gauge placed in outside facility,354133,Checkbox
227756,Multi Lumen Placement Confirmed by X-ray,349701,Text
226814,Known difficult intubation,347977,Text
228306,Assistance Device,346660,Text
224688,Respiratory Rate (Set),342289,Numeric
228394,Orientation to Person,335186,Text
224684,Tidal Volume (set),327557,Numeric
228395,Orientation to Place,327457,Text
227292,Arterial Line Dressing Occlusive,326227,Checkbox
224738,Inspiratory Time,322867,Numeric
228396,Orientation to Time,322555,Text
224686,Tidal Volume (spontaneous),321855,Numeric
224701,PSV Level,317554,Numeric
223830,PH (Arterial),316903,Numeric
228013,20 G Phlebitis Scale,316266,Text
228014,20 G Infiltration Scale,314606,Text
228943,Infection NCP - Expected outcomes,314354,Text
228393,Bath,313482,Text
220060,Pulmonary Artery Pressure diastolic,309126,Numeric
220059,Pulmonary Artery Pressure systolic,309026,Numeric
220224,Arterial O2 pressure,305443,Numeric
220235,Arterial CO2 Pressure,305443,Numeric
224828,Arterial Base Excess,305429,Numeric
225698,TCO2 (calc) Arterial,305406,Numeric
220061,Pulmonary Artery Pressure mean,304080,Numeric
228099,18 Gauge placed in the field,301651,Checkbox
224283,Multi Lumen Waveform Appear,299277,Text
229354,Foley Cath Insertion Location,299118,Text
228496,Impaired Skin #1- Location,295313,Text
228404,Motor L Arm,292813,Text
228406,Motor R Arm,292467,Text
228405,Motor L Leg,292335,Text
228407,Motor R Leg,291869,Text
224565,Surrounding Tissue #1,291760,Text
227466,PTT,290481,Numeric with tag
227700,Safety Measures,283318,Text
228983,Safety Restraints NCP - Expected outcomes,283182,Text
224041,Incision Drainage #1,283100,Text
224032,Impaired Skin Site #1,282711,Text
224226,Impaired Skin Wound Base #1,280442,Text
228911,Altered Skin Integrity NCP - Expected outcomes,276147,Text
223753,Riker-SAS Scale,275703,Text
229652,Stroke NCP - Interventions,274354,Text
228307,GI #1 Tube Place Check,272885,Text
228559,Incision #1- Location,271949,Text
227293,Multi Lumen Dressing Occlusive,268066,Checkbox
227467,INR,267275,Numeric with tag
227465,Prothrombin time,267255,Numeric with tag
223762,Temperature Celsius,264628,Numeric
228879,Education Readiness/Motivation,264438,Text
225184,Eye Care,263977,Checkbox
228880,Education Existing Knowledge,260788,Text
224188,PICC Line Site Appear,259908,Text
224794,Stool Color,251829,Text
225187,Back Care,247723,Checkbox
225185,Skin Care,245244,Checkbox
224011,Stool Consistency,243537,Text
224146,System Integrity,241835,Text
228953,Coping/Knowledge Deficit  NCP - Expected outcomes,239195,Text
224259,Impaired Skin Drainage #1,239102,Text
229323,Current Dyspnea Assessment,237929,Text
224564,Impaired Skin Odor #1,234218,Checkbox
227375,Daily Wake Up,233978,Text
226115,PICC Line placed in outside facility,233385,Checkbox
225668,Lactic Acid,232110,Numeric
228400,Visual Field Cut,230823,Text
225312,ART BP Mean,230147,Numeric
225309,ART BP Systolic,228488,Numeric
225310,ART BP Diastolic,228417,Numeric
229326,CAM-ICU MS Change,228415,Text
229245,Humidifier Water % Fill Level,225819,Text
229244,Humidifier Water Changed,222290,Text
227349,High risk (>51) interventions,221486,Checkbox
226457,Ultrafiltrate Output,217653,Numeric
224696,Plateau Pressure,217025,Numeric
225667,Ionized Calcium,216430,Numeric
228416,Corneal Reflex Right,215883,Text
226871,Expiratory Ratio,215285,Numeric
226873,Inspiratory Ratio,214507,Numeric
228415,Corneal Reflex Left,213774,Text
227759,PICC Line Placement Confirmed by X-ray,210963,Text
228011,18 G Phlebitis Scale,209428,Text
224191,Hourly Patient Fluid Removal,209426,Numeric
224075,Education Readiness,208556,Text
229644,Stroke NCP - Expected outcomes,208465,Text
229369,Acuity Workload Question 1,208230,Text
228012,18 G Infiltration Scale,208198,Text
229370,Acuity Workload Question 2,208101,Text
228571,Incision #1- Treatment,207217,Text
225188,Cough/Deep Breath,206346,Checkbox
224149,Access Pressure,206268,Numeric
224150,Filter Pressure,206263,Numeric
228401,Pronator Drift,206237,Text
225183,Current Goal,206147,Numeric
224151,Effluent Pressure,206103,Numeric
224152,Return Pressure,206077,Numeric
224038,Impaired Skin Treatment #1,204813,Text
223780,Daily Wake Up Deferred,203179,Text
229314,Ventilator Mode (Hamilton),203139,Text
224639,Daily Weight,202491,Numeric
224850,Incision Drainage Amount #1,202378,Text
224154,Dialysate Rate,200611,Numeric
220056,Arterial Blood Pressure Alarm - Low,200198,Numeric
220058,Arterial Blood Pressure Alarm - High,200132,Numeric
224153,Replacement Rate,199530,Numeric
225976,Replacement Fluid,199470,Text
225977,Dialysate Fluid,199052,Text
224993,Incision Appearance #2,197630,Text
225004,Incision Closure #2,197340,Text
227239,ABP Alarm Source,196940,Text
224144,Blood Flow (ml/min),196378,Numeric
227565,Ventilator Tank #1,192512,Numeric
227566,Ventilator Tank #2,192180,Numeric
224561,Impaired Skin Type #1,191689,Text
225231,20 Gauge Site Appear,186421,Text
228997,Discharge NCP - Interventions,185521,Text
224691,Flow Rate (L/min),184744,Numeric
224700,Total PEEP Level,183992,Numeric
228005,PBP (Prefilter) Replacement Rate,183428,Numeric
225811,CV - past medical history,183113,Text
224847,Impaired Skin Drainage Amount #1,181418,Text
229687,Pain Assessment Method,180416,Text
229384,Tongue,180041,Text
228006,Post Filter Replacement Rate,179745,Numeric
225210,Arterial Line Zero/Calibrate,179050,Checkbox
224829,Trach Tube Type,178441,Text
228004,Citrate (ACD-A),175812,Numeric
224012,Stool Management,175067,Text
228594,Incision #1- Dressing Status,174991,Text
220765,Intra Cranial Pressure,172901,Numeric
224009,GI #1 Tube Drainage,169776,Text
226105,Behavior,167393,Text
227358,PICC Line Dressing Occlusive,167169,Checkbox
228560,Incision #2- Location,164870,Text
228337,CAM-ICU MS Change,159960,Text
223772,SvO2,159559,Numeric
224972,Surrounding Tissue #2,155552,Text
229091,Altered Respiratory Status NCP - Problem resolved,154655,Text
224958,Impaired Skin Wound Base #2,154089,Text
226329,Blood Temperature CCO (C),151805,Numeric
226537,Glucose (whole blood),149066,Numeric
224842,Cardiac Output (CCO),146317,Numeric
223754,Risk for Falls,145982,Text
227472,Incision Site #1,143710,Text
228308,GI #1 Tube Place Method,142825,Text
224930,Impaired Skin Site #2,141331,Text
223903,Communication,139886,Text
223931,Neuro Drain #1 Status,139846,Text
225234,18 Gauge Site Appear,139146,Text
223910,Follows Commands,138408,Text
229535,Line Type,138288,Text
227369,22 Gauge Dressing Occlusive,136801,Checkbox
228497,Impaired Skin #2- Location,136634,Text
229101,Impaired Tissue Perfusion NCP - Problem resolved,136283,Text
226139,22 Gauge placed in outside facility,135976,Checkbox
229385,Shoulder Shrug,135271,Text
225059,Past medical history,135189,Text
224391,ETT Mark (location),135022,Text
224851,Dressing Status #1,134772,Text
224042,Incision Dressing #1,132123,Text
225013,Incision Drainage #2,130226,Text
228236,Insulin pump,129302,Checkbox
224037,Impaired Skin Cleanse #1,129063,Text
229689,CPOT-Pain Assessment Method,128065,Text
224902,Impaired Skin Drainage #2,127395,Text
228529,Impaired Skin #1- Treatment,126892,Text
229383,Extraocular Movements,126829,Text
229247,Trans Membrane Pressure,126386,Numeric
229248,Pressure Drop,125901,Numeric
225103,Intravenous  / IV access prior to admission,125649,Checkbox
224730,Corneal Reflex Right,125256,Text
224923,Impaired Skin Odor #2,124248,Checkbox
227464,Potassium (whole blood),123573,Numeric with tag
228966,Nutrition  NCP - Interventions,122453,Text
227066,Cerebral Perfusion Pressure,121226,Numeric
227290,CRRT mode,121114,Text
228101,22 Gauge placed in the field,120707,Checkbox
229103,Infection NCP - Problem resolved,120630,Text
224731,Corneal Reflex Left,120334,Text
224830,Trach Tube Manufacturer,120298,Text
224831,Trach Tube Size (I.D.),119572,Text
226531,Admission Weight (lbs.),119251,Numeric
224937,Impaired Skin Treatment #2,118289,Text
224170,MDI #1 Drug,117979,Text
228516,Impaired Skin #1- Type,116925,Text
224417,Cuff Pressure,116805,Numeric
227780,Impaired Skin  - Dressing Status #1,115890,Text
225072,Living situation,115473,Text
229647,Stroke NCP - Problem,115296,Text
223993,Chest Tube Site # 1,113542,Text
229858,Therapeutic Bed,112798,Text
229107,Pain NCP - Problem resolved,112307,Text
228572,Incision #2- Treatment,112215,Text
224806,CT #1 Suction Type,111308,Text
225690,Total Bilirubin,111112,Numeric
220644,ALT,110717,Numeric
224944,Impaired Skin Type #2,110682,Text
220587,AST,110670,Numeric
223994,CT #1 Suction Amount,109869,Text
223997,CT #1 Dressing,109634,Text
225189,Incentive Spirometry,109465,Checkbox
229124,Altered Sensory Perception NCP - Expected Outcomes,109356,Text
223996,CT #1 Drainage,108924,Text
225612,Alkaline Phosphate,108434,Numeric
229138,Substance withdrawal NCP - Interventions,107611,Text
229111,Safety Restraints NCP - Problem resolved,106182,Text
225323,Dialysis Catheter Site Appear,105923,Text
229109,Post-op Care NCP - Problem resolved,105773,Text
224145,Heparin Dose (per hour),105726,Numeric
223995,CT #1 Fluctuate,105642,Text
227684,Safety Measures,105456,Text
224775,CT #1 Leak,104822,Text
227668,Side Rails_V2,103457,Text
225092,Self ADL,103376,Checkbox
228648,Home TF,103277,Checkbox
223968,Angio Appearance # 1,101961,Text
223967,Angio Site # 1,100683,Text
223926,Neuro Drain #1 Type,100328,Text
228649,Pressure Ulcer Present,99182,Checkbox
225094,History of slips / falls,98995,Checkbox
225099,Judgement,98743,Text
225097,Balance,98366,Text
225050,Warming Device Status,98274,Text
224105,Warming Device,98146,Text
224909,Impaired Skin Drainage Amount #2,97829,Text
229300,GI #1 Tube Mark (CM),96672,Numeric
229089,Altered Mental Status  NCP - Problem resolved,96517,Text
223970,Angio Dressing # 1,96451,Text
223998,CT #1 Crepitus,96381,Text
228595,Incision #2- Dressing Status,95840,Text
225131,Teaching directed toward,95707,Text
224562,Impaired Skin Length #1,95581,Numeric
228334,CAM-ICU Altered LOC,95257,Text
225106,ETOH,92715,Checkbox
224758,RUE Sensation,92424,Text
223924,RLE Sensation,91697,Text
224846,Impaired Skin Width #1,91214,Numeric
223923,Seizure Activity,91097,Text
224759,LUE Sensation,90567,Text
224959,Impaired Skin Wound Base #3,90476,Text
227366,16 Gauge Dressing Occlusive,90403,Checkbox
228733,Pressure ulcer #1- Wound Base,90295,Text
226136,16 Gauge placed in outside facility,89977,Checkbox
226118,Dialysis Catheter placed in outside facility,89719,Checkbox
229325,CAM-ICU Inattention,89662,Text
224762,LLE Sensation,89601,Text
229099,Impaired Fluid Balance NCP - Problem resolved,89239,Text
225087,Visual / hearing deficit,88781,Checkbox
225118,Difficulty swallowing,88384,Checkbox
224973,Surrounding Tissue #3,87831,Text
228743,Pressure ulcer #1- Surrounding tissue,87830,Text
228640,EtCO2,87595,Numeric
228015,22 G Phlebitis Scale,87568,Text
220227,Arterial O2 Saturation,87394,Numeric
228016,22 G Infiltration Scale,87037,Text
228506,Pressure Ulcer #1- Location,86946,Text
229703,CPOT-Pain Management,86393,Text
224931,Impaired Skin Site #3,86072,Text
224640,Service,85684,Text
225005,Incision Closure #3,85633,Text
224994,Incision Appearance #3,85334,Text
227687,Tobacco Use History,85316,Text
225126,Dialysis patient,85234,Checkbox
227570,Small Volume Neb Drug/Dose #1,85130,Text
225018,Incision Drainage Amount #2,84822,Text
225113,Currently experiencing pain,84761,Checkbox
225101,Use of assistive devices,84244,Text
228549,Pressure Ulcer #1- Type,84098,Text
225110,Recreational drug use,83551,Checkbox
225120,Appetite,83011,Text
223932,Neuro Drain #1 Drainage,82427,Text
224010,GI #1 Tube Place Check,82118,Text
223930,Neuro Drain #1 Level,82015,Text
228297,Daily Wake Up Deferred,81929,Text
228600,Impaired Skin #1- Dressing Status,81824,Text
228813,Pressure ulcer #1- Stage,80734,Text
225067,Is the spokesperson the Health Care Proxy,80144,Checkbox
223955,Temporary Pacemaker Type,79317,Text
224169,MDI #1 Puff,79283,Numeric
225135,Consults,78489,Text
227985,Neuro Drain #1 Landmark,78428,Text
229134,Elimination NCP - Interventions,77584,Text
228402,Neurological Symptoms,77199,Text
224043,Incision Cleansing #1,77186,Text
223956,Temporary Pacemaker Mode,76830,Text
228561,Incision #3- Location,76544,Text
224888,Impaired Skin Cleanse #2,76469,Text
225122,Special diet,76003,Checkbox
228098,16 Gauge placed in the field,75907,Checkbox
227753,Dialysis Catheter Placement Confirmed by X-ray,75830,Text
225074,Any fear in relationships,75618,Checkbox
224903,Impaired Skin Drainage #3,75189,Text
225078,Social work consult,75017,Checkbox
224938,Impaired Skin Treatment #3,74912,Text
225124,Unintentional weight loss >10 lbs.,73806,Checkbox
223961,Temporary Pacemaker Wire Condition,73307,Text
224632,Tunneling Present #1,73126,Text
229476,PICC Line Power PICC,73050,Checkbox
224106,Cooling Device,72709,Text
224924,Impaired Skin Odor #3,72609,Checkbox
223758,Code Status,71141,Text
224751,Temporary Pacemaker Rate,71086,Numeric
223962,Temporary Pacemaker Wires Venticular,69867,Numeric
220072,Central Venous Pressure Alarm - High,69733,Numeric
220073,Central Venous Pressure  Alarm - Low,69687,Numeric
226180,Sexuality / reproductive problems,69400,Checkbox
224788,GI #2 Tube Type,69266,Text
229090,Altered Respiratory Status NCP - Plan revised,69082,Text
224441,GI #2 Intub Site,68715,Text
224945,Impaired Skin Type #3,68363,Text
224789,GI #2 Tube Status,68234,Text
229698,CPOT-Facial Expression (CPOTb),68161,Text
229696,CPOT-Body Movements (CPOTb),67999,Text
226512,Admission Weight (Kg),67826,Numeric
229691,CPOT-Muscle Tension (CPOTb),67682,Text
229695,CPOT-Vocalization (CPOTb),67584,Text
224109,Cervical Collar Type,67237,Text
224839,Temporary Pacemaker Wires Atrial,67154,Numeric
228498,Impaired Skin #3- Location,67097,Text
225076,Emotional / physical / sexual harm by partner or close relation,67026,Checkbox
224631,Pressure Ulcer Stage #1,66897,Text
228993,Discharge NCP - Expected outcomes,66432,Text
224438,Chest Tube Site # 2,65301,Text
228888,Pain NCP - Expected outcomes,64175,Text
229662,Pminimum,63756,Numeric
228853,Impaired Skin #1- Type,63348,Text
220632,LDH,63099,Numeric
220274,PH (Venous),62600,Numeric
224110,Cervical Collar Status,62382,Text
224633,Undermining Present #1,62339,Text
228530,Impaired Skin #2- Treatment,61414,Text
225206,Multi Lumen Zero/Calibrate,60991,Checkbox
227357,Dialysis Catheter Dressing Occlusive,60557,Checkbox
224297,Cordis/Introducer Site Appear,59856,Text
225052,Cooling Device Status,59718,Text
225313,Bed Bath,59459,Checkbox
228723,Pressure ulcer #1- Length,59266,Numeric
224173,MDI #2 Drug,59147,Text
229663,Pinsp (Hamilton),59063,Numeric
224406,VEN Lumen Volume,58786,Numeric
228620,Pressure Ulcer #1- Width,58662,Numeric
229093,Altered Skin Integrity NCP - Problem resolved,58557,Text
224404,ART Lumen Volume,58515,Numeric
224910,Impaired Skin Drainage Amount #3,58420,Text
229660,RCexp (Measured Time Constant),58413,Numeric
229661,Compliance,58066,Numeric
229664,Resistance Exp,57886,Numeric
229100,Impaired Tissue Perfusion NCP - Plan revised,57865,Text
227473,Incision Site #2,57832,Text
229665,Resistance Insp,57667,Numeric
228539,Pressure Ulcer #1- Treatment,57404,Text
227350,Cordis/Introducer Dressing Occlusive,57173,Checkbox
229600,CAUTI Info Given,56978,Text
224916,Impaired Skin Length #2,56933,Numeric
227781,Impaired Skin  - Dressing Status #2,56919,Text
224960,Impaired Skin Wound Base #4,56195,Text
228577,Impaired Skin #2- Type,55920,Text
227456,Albumin,55585,Numeric with tag
227124,Dialysis Catheter Type,55559,Text
225028,Dressing Status #2,55322,Text
228573,Incision #3- Treatment,55198,Text
226540,Hematocrit (whole blood - calc),54961,Numeric
224951,Impaired Skin Width #2,54507,Numeric
225023,Incision Dressing #2,54360,Text
227429,Troponin-T,54310,Numeric with tag
224808,CT #2 Suction Type,54160,Text
225014,Incision Drainage #3,54015,Text
224740,RSBI Deferred,53802,Text
223921,Neuro Symptoms,53788,Text
224974,Surrounding Tissue #4,53456,Text
224427,CT #2 Suction Amount,53437,Text
228833,Pressure ulcer #1- Tunneling present,53425,Text
226109,Cordis/Introducer placed in outside facility,53183,Checkbox
225070,Unable to assess psychological,53102,Checkbox
225641,Differential-Lymphs,52599,Numeric
225642,Differential-Monos,52599,Numeric
225639,Differential-Basos,52597,Numeric
225640,Differential-Eos,52596,Numeric
225643,Differential-Neuts,52595,Numeric
226479,Ectopy Type 2,52476,Text
224932,Impaired Skin Site #4,52396,Text
229095,Coping/Knowledge Deficit  NCP - Problem resolved,51990,Text
228009,16 G Phlebitis Scale,50620,Text
228010,16 G Infiltration Scale,50318,Text
229538,PICC - Heparin Dependent,49921,Checkbox
227752,Cordis/Introducer Placement Confirmed by X-ray,49848,Text
226534,Sodium (whole blood),49627,Numeric
229136,Substance withdrawal NCP - Expected outcomes,49439,Text
229102,Infection NCP - Plan revised,48942,Text
229108,Post-op Care NCP - Plan revised,48646,Text
225634,CK (CPK),48585,Numeric
224092,Range of Motion Location,48344,Text
224065,Circulation/Skin Integrity,48269,Text
224889,Impaired Skin Cleanse #3,48159,Text
228843,Pressure ulcer #1- Undermining present,48144,Text
229106,Pain NCP - Plan revised,48002,Text
227445,CK-MB,47851,Numeric with tag
224939,Impaired Skin Treatment #4,47729,Text
223773,PA Line cm Mark,47591,Numeric
225176,Range of Motion Status,47502,Text
227988,Pronator drift present,47397,Text
226063,Venous O2 Pressure,47346,Numeric
227630,Arctic Sun Temp #1 Location,47345,Text
223679,TCO2 (calc) Venous,47329,Numeric
226062,Venous CO2 Pressure,47319,Numeric
225117,Unable to assess nutrition / education,46926,Checkbox
224425,CT #2 Dressing,46368,Text
227468,Fibrinogen,46092,Numeric with tag
220245,CO2 production,45631,Numeric
224424,CT #2 Drainage,45578,Text
224067,Range of Motion,45318,Text
224904,Impaired Skin Drainage #4,45136,Text
228962,Nutrition  NCP - Expected outcomes,45101,Text
227632,Arctic Sun/Alsius Temp #1 C,44539,Numeric
224426,CT #2 Fluctuate,44402,Text
227631,Arctic Sun Temp #2 Location,44284,Text
224777,CT #2 Leak,44102,Text
227588,GI #1 Tube Place Method,43925,Text
227663,Immobilizer,43901,Text
224327,PCA medication,43780,Text
228803,Pressure ulcer #1- Dressing status,43541,Text
